Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_PUSH","CherryMX_Hotswap-3d-smd",50.961741,-55.284273,-25.000000,top
"SW2","SW_PUSH","CherryMX_Hotswap-3d-smd",73.379466,-52.285446,-25.000000,top
"SW3","SW_PUSH","CherryMX_Hotswap-3d-smd",92.362150,-56.653089,-25.000000,top
"SW4","SW_PUSH","CherryMX_Hotswap-3d-smd",108.446518,-67.236191,-25.000000,top
"SW5","SW_PUSH","CherryMX_Hotswap-3d-smd",124.530886,-77.819293,-25.000000,top
"SW6","SW_PUSH","CherryMX_Hotswap-3d-smd",172.742641,-77.938350,25.000000,top
"SW7","SW_PUSH","CherryMX_Hotswap-3d-smd",188.827009,-67.355248,25.000000,top
"SW8","SW_PUSH","CherryMX_Hotswap-3d-smd",204.911377,-56.772147,25.000000,top
"SW9","SW_PUSH","CherryMX_Hotswap-3d-smd",223.894060,-52.404504,25.000000,top
"SW10","SW_PUSH","CherryMX_Hotswap-3d-smd",246.311786,-55.403330,25.000000,top
"SW11","SW_PUSH","CherryMX_Hotswap-3d-smd",42.910863,-72.549436,-25.000000,top
"SW12","SW_PUSH","CherryMX_Hotswap-3d-smd",65.328588,-69.550609,-25.000000,top
"SW13","SW_PUSH","CherryMX_Hotswap-3d-smd",84.311272,-73.918252,-25.000000,top
"SW14","SW_PUSH","CherryMX_Hotswap-3d-smd",100.395640,-84.501354,-25.000000,top
"SW15","SW_PUSH","CherryMX_Hotswap-3d-smd",116.480008,-95.084456,-25.000000,top
"SW16","SW_PUSH","CherryMX_Hotswap-3d-smd",180.793519,-95.203514,25.000000,top
"SW17","SW_PUSH","CherryMX_Hotswap-3d-smd",196.877886,-84.620412,25.000000,top
"SW18","SW_PUSH","CherryMX_Hotswap-3d-smd",212.962254,-74.037310,25.000000,top
"SW19","SW_PUSH","CherryMX_Hotswap-3d-smd",231.944938,-69.669667,25.000000,top
"SW20","SW_PUSH","CherryMX_Hotswap-3d-smd",254.362664,-72.668494,25.000000,top
"SW21","SW_PUSH","CherryMX_Hotswap-3d-smd",34.859985,-89.814599,-25.000000,top
"SW22","SW_PUSH","CherryMX_Hotswap-3d-smd",57.277710,-86.815773,-25.000000,top
"SW23","SW_PUSH","CherryMX_Hotswap-3d-smd",76.260394,-91.183416,-25.000000,top
"SW24","SW_PUSH","CherryMX_Hotswap-3d-smd",92.344762,-101.766517,-25.000000,top
"SW25","SW_PUSH","CherryMX_Hotswap-3d-smd",108.429130,-112.349619,-25.000000,top
"SW26","SW_PUSH","CherryMX_Hotswap-3d-smd",188.844396,-112.468677,25.000000,top
"SW27","SW_PUSH","CherryMX_Hotswap-3d-smd",204.928764,-101.885575,25.000000,top
"SW28","SW_PUSH","CherryMX_Hotswap-3d-smd",221.013132,-91.302473,25.000000,top
"SW29","SW_PUSH","CherryMX_Hotswap-3d-smd",239.995816,-86.934830,25.000000,top
"SW30","SW_PUSH","CherryMX_Hotswap-3d-smd",262.413541,-89.933657,25.000000,top
"SW31","SW_PUSH","CherryMX_Hotswap-3d-smd",97.050556,-136.751050,45.000000,top
"SW32","SW_PUSH","CherryMX_Hotswap-3d-smd",200.115625,-136.639906,-45.000000,top
