Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,46.398227,-69.645705,155,bottom
D2,1N4148W,D_SOD-123,68.930147,-66.700129,155,bottom
D3,1N4148W,D_SOD-123,88.004664,-70.26982,155,bottom
D4,1N4148W,D_SOD-123,103.453624,-82.518432,155,bottom
D5,1N4148W,D_SOD-123,118.994417,-93.969093,155,bottom
D6,1N4148W,D_SOD-123,164.311031,-94.381373,-155,bottom
D7,1N4148W,D_SOD-123,180.080214,-82.824212,-155,bottom
D8,1N4148W,D_SOD-123,195.298971,-70.682945,-155,bottom
D9,1N4148W,D_SOD-123,214.878725,-67.204267,-155,bottom
D10,1N4148W,D_SOD-123,236.963011,-69.751712,-155,bottom
D11,1N4148W,D_SOD-123,38.231342,-86.856774,155,bottom
D12,1N4148W,D_SOD-123,60.649067,-83.857947,155,bottom
D13,1N4148W,D_SOD-123,80.069793,-87.589079,155,bottom
D14,1N4148W,D_SOD-123,95.402746,-99.783596,155,bottom
D15,1N4148W,D_SOD-123,111.057734,-111.287506,155,bottom
D16,1N4148W,D_SOD-123,172.476104,-111.593286,-155,bottom
D17,1N4148W,D_SOD-123,188.131091,-100.089376,-155,bottom
D18,1N4148W,D_SOD-123,203.464044,-87.894859,-155,bottom
D19,1N4148W,D_SOD-123,222.815408,-84.52268,-155,bottom
D20,1N4148W,D_SOD-123,245.128084,-86.963625,-155,bottom
D21,1N4148W,D_SOD-123,32.443372,-99.571989,155,bottom
D22,1N4148W,D_SOD-123,52.598189,-101.12311,155,bottom
D23,1N4148W,D_SOD-123,72.018915,-104.854242,155,bottom
D24,1N4148W,D_SOD-123,87.351868,-117.048759,155,bottom
D25,1N4148W,D_SOD-123,103.006856,-128.55267,155,bottom
D26,1N4148W,D_SOD-123,180.526982,-128.85845,-155,bottom
D27,1N4148W,D_SOD-123,196.067775,-117.407789,-155,bottom
D28,1N4148W,D_SOD-123,211.400727,-105.213272,-155,bottom
D29,1N4148W,D_SOD-123,230.980481,-101.734594,-155,bottom
D30,1N4148W,D_SOD-123,249.428,-101.854,-155,bottom
D31,1N4148W,D_SOD-123,73.07148,-144.31473,145,bottom
D32,1N4148W,D_SOD-123,89.682178,-157.315181,135,bottom
D33,1N4148W,D_SOD-123,194.355626,-157.375769,-135,bottom
D34,1N4148W,D_SOD-123,210.458828,-144.614396,-145,bottom
R1,75 0402,R_0402_1005Metric,152.656,-81.534,180,bottom
SW1,SW_PUSH,Kailh_socket_MX_4fab,43.470482,-59.031962,155,bottom
SW2,SW_PUSH,Kailh_socket_MX_4fab,65.888207,-56.033135,155,bottom
SW3,SW_PUSH,Kailh_socket_MX_4fab,85.168456,-59.698761,155,bottom
SW4,SW_PUSH,Kailh_socket_MX_4fab,100.525879,-71.904689,155,bottom
SW5,SW_PUSH,Kailh_socket_MX_4fab,116.180867,-83.408599,155,bottom
SW6,SW_PUSH,Kailh_socket_MX_4fab,167.30403,-83.737201,-155,bottom
SW7,SW_PUSH,Kailh_socket_MX_4fab,182.959018,-72.23329,-155,bottom
SW8,SW_PUSH,Kailh_socket_MX_4fab,198.291971,-60.038773,-155,bottom
SW9,SW_PUSH,Kailh_socket_MX_4fab,217.513815,-56.120124,-155,bottom
SW10,SW_PUSH,Kailh_socket_MX_4fab,239.95601,-59.10754,-155,bottom
SW11,SW_PUSH,Kailh_socket_MX_4fab,35.419604,-76.297125,155,bottom
SW12,SW_PUSH,Kailh_socket_MX_4fab,57.837329,-73.298299,155,bottom
SW13,SW_PUSH,Kailh_socket_MX_4fab,77.117578,-76.963924,155,bottom
SW14,SW_PUSH,Kailh_socket_MX_4fab,92.475001,-89.169852,155,bottom
SW15,SW_PUSH,Kailh_socket_MX_4fab,108.105518,-100.662352,155,bottom
SW16,SW_PUSH,Kailh_socket_MX_4fab,175.354908,-101.002364,-155,bottom
SW17,SW_PUSH,Kailh_socket_MX_4fab,191.009896,-89.498454,-155,bottom
SW18,SW_PUSH,Kailh_socket_MX_4fab,206.342848,-77.303936,-155,bottom
SW19,SW_PUSH,Kailh_socket_MX_4fab,225.589163,-73.373876,-155,bottom
SW20,SW_PUSH,Kailh_socket_MX_4fab,248.006888,-76.372703,-155,bottom
SW21,SW_PUSH,Kailh_socket_MX_4fab,27.368726,-93.562289,155,bottom
SW22,SW_PUSH,Kailh_socket_MX_4fab,49.786451,-90.563462,155,bottom
SW23,SW_PUSH,Kailh_socket_MX_4fab,69.09117,-94.240498,155,bottom
SW24,SW_PUSH,Kailh_socket_MX_4fab,84.424123,-106.435015,155,bottom
SW25,SW_PUSH,Kailh_socket_MX_4fab,100.079111,-117.938926,155,bottom
SW26,SW_PUSH,Kailh_socket_MX_4fab,183.405786,-118.267527,-155,bottom
SW27,SW_PUSH,Kailh_socket_MX_4fab,199.060774,-106.763617,-155,bottom
SW28,SW_PUSH,Kailh_socket_MX_4fab,214.393726,-94.5691,-155,bottom
SW29,SW_PUSH,Kailh_socket_MX_4fab,233.615571,-90.65045,-155,bottom
SW30,SW_PUSH,Kailh_socket_MX_4fab,256.057766,-93.637866,-155,bottom
SW31,SW_PUSH,Kailh_socket_MX_4fab,72.031271,-133.353836,145,bottom
SW32,SW_PUSH,Kailh_socket_MX_4fab,90.561111,-146.340177,135,bottom
SW33,SW_PUSH,Kailh_socket_MX_4fab,193.438509,-146.438948,-135,bottom
SW34,SW_PUSH,Kailh_socket_MX_4fab,211.432686,-133.699962,-145,bottom
U2,LED_0603,LED_0603,153.162,-85.394,0,bottom
